H 72  	1001000
e 101 	1100101
l 108 	1101000
l 108 	1101000
o 111 	1101111
  32  	100000
g 103 	1100111
u 117 	1110101
y 121 	1111001
s 115 	1110011
  32  	100000
f 102 	1100110
r 114 	1110010
o 111 	1101111
m 109 	1101101
  32  	100000
t 116 	1110100
h 104 	1101000
e 101 	1100101
  32  	100000
m 109 	1101101
o 111 	1101111
s 115 	1110011
t 116 	1110100
  32  	100000
p 112 	1110100
o 111 	1101111
p 112 	1110100
u 117 	1110101
l 108 	1101000
a 97  	1100001
r 114 	1110010
  32  	100000
p 112 	1110100
r 114 	1110010
o 111 	1101111
g 103 	1100111
r 114 	1110010
a 97  	1100001
m 109 	1101101
m 109 	1101101
i 105 	1101001
n 110 	1101110
g 103 	1100111
  32 	100000
c 99  	1100011
o 111 	1101111
u 117 	1110101
r 114 	1110010
s 115 	1110011
e 101 	1100101
  32  	100000
— 8212	10000000010100
  32  	100000
C 67  	1000011
# 35  	100011
! 33  	100001
